ISN,Downloadable,Title,Author/Org,Document,Published,Pages,Maps,Map Types,Subjects,Areas,NTS,Licence,Coverage,Notes,Ordering,Long/Lat,Source,,Degree
1485,No,Report on the Mines of Nova Scotia,"Gilpin, E, Nova Scotia Department of Mines and Energy",Annual Report 1905,1906,3-43,0 map(s),,barite; barium; coal; coal seams; coke; drillholes; economic geology; fossil fuels; gold; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining methods; moulding sands; Pennsylvanian; production,Cape Breton County; Cape Breton Island; Caribou Cove; Colchester County; Cumberland County; Debert; Inverness Coalfield; Inverness County; Mabou Coalfield; Pictou Coalfield; Pictou County; Port Hood Coalfield; River Hebert; Sydney Coalfield; Victoria County; Westville,11E/03; 11E/04; 11E/05; 11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Report of the Department of Mines, Nova Scotia, for the Year Ending September 30, 1905; 173 page(s)",,
1486,No,Report on the Mines In Nova Scotia,"Gilpin, E, Nova Scotia Department of Mines and Energy",Annual Report 1906,1907,3-48,0 map(s),,barite; barium; coal; coal seams; coke; copper; drillholes; economic geology; fossil fuels; gold; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining methods; moulding sands; Pennsylvanian; production; shafts,Cap d'Or; Cape Breton County; Cape Breton Island; Caribou Cove; Colchester County; Cumberland County; Debert; Inverness Coalfield; Inverness County; Joggins; Joggins Coalfield; Mabou Coalfield; Maccan; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; River Hebert; Springhill Coalfield; Sydney Coalfield; Victoria County,11E/03; 11E/04; 11E/05; 11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/01; 21H/02; 21H/07; 21H/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Report of the Department of Mines, Nova Scotia, for the Year Ending September 30, 1906; 165 page(s)",,
1487,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1907,1908,3-85,0 map(s),,antimony; barite; barium; brick clays/shales; building stones; clays; coal; coal seams; coke; copper; drillholes; economic geology; economics; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining methods; moulding sands; Pennsylvanian; production; shafts,Cape Breton County; Cape Breton Island; Caribou Cove; Colchester County; Cumberland County; Inverness Coalfield; Inverness County; Joggins; Joggins Coalfield; Mabou Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; River Hebert; Springhill Coalfield; Sydney Coalfield; Victoria County; Westville,11E/03; 11E/04; 11E/05; 11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Report of the Department of Mines, Nova Scotia, for the Year Ended September 30, 1907; 179 page(s)",,
1488,No,Report on Government Drills,"Pickings, H B, Nova Scotia Department of Mines and Energy",Annual Report 1907,1908,113-139,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; industrial minerals; iron; limestones; lithology; metallic minerals; Pennsylvanian,Annapolis County; Antigonish County; Cape Breton County; Cape Breton Island; Colchester County; Cumberland County; Halifax County; Hants County; Inverness County; Nova Scotia; Pictou County; Richmond County; Victoria County,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Report of the Department of Mines, Nova Scotia, for the Year Ended September 30, 1907; 179 page(s)",,
1489,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1908,1909,1-92,0 map(s),,antimony; building stones; coal; coal seams; coke; copper; drillholes; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mines; mining methods; moulding sands; Pennsylvanian; production; shafts,Cape Breton County; Cape Breton Island; Coalburn; Colchester County; Cumberland County; Debert; Inverness Coalfield; Inverness County; Joggins Coalfield; Mabou Coalfield; Maccan; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; Springhill Coalfield; Stellarton; Sydney Coalfield; Thorburn; Westville,11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of Department of Mines 1908; 202 page(s),,
1490,No,Report on Government Core Drills,"Pickings, H B, Nova Scotia Department of Mines and Energy",Annual Report 1908,1909,116-153,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; gold; iron; lithology; metallic minerals,Annapolis County; Antigonish County; Cape Breton County; Cape Breton Island; Colchester County; Cumberland County; Halifax County; Hants County; Inverness County; Nova Scotia; Pictou County; Richmond County; Victoria County,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of Department of Mines 1908; 202 page(s),,
1491,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1909,1910,3-151,0 map(s),,barite; barium; coal; coal seams; drillholes; economic geology; fossil fuels; industrial minerals; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining methods; Pennsylvanian; production; shafts,Cape Breton County; Cape Breton Island; Colchester County; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Mabou Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Richmond County; Springhill Coalfield; Sydney Coalfield,11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1909; 256 page(s),,
1492,No,Report on Government Drills,"Pickings, H B, Nova Scotia Department of Mines and Energy",Annual Report 1909,1910,184-208,0 map(s),,coal; drillhole logs; drillholes; gypsum; lithology; miscellaneous,Cape Breton County; Cape Breton Island; Hants County; Inverness County; Nova Scotia; Pictou County; Richmond County,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11K/01; 11K/02; 11K/07; 11K/08,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1909; 256 page(s),,
1493,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1910,1911,3-129,0 map(s),,ammonium sulphate; barite; barium; building stones; coal; coke; copper; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining production graphs; moulding sands; Pennsylvanian; production; scheelite; tungsten,Cape Breton County; Cape Breton Island; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Mabou Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1910; 250 page(s),,
1494,No,Report on Government Drills,"Pickings, H B, Nova Scotia Department of Mines and Energy",Annual Report 1910,1911,168-193,0 map(s),,coal; drillhole logs; drillholes; fossil fuels,Antigonish County; Cape Breton County; Cumberland County; Nova Scotia; Pictou County,11E/09; 11E/10; 11E/11; 11E/12; 11E/13; 11E/14; 11E/15; 11E/16; 11F/09; 11F/10; 11F/15; 11F/16; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1910; 250 page(s),,
1495,No,Report on the Mines In Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1911,1912,11-186,1 map(s),"exploration activity location, scale: N/A",ammonium sulphate; antimony; barite; barium; brick clays/shales; building stones; coal; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; marbles; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining production graphs; moulding sands; Pennsylvanian; production; quarries; tungsten,Cape Breton County; Cape Breton Island; Cumberland County; Eastern Harbour; Inverness Coalfield; Inverness County; Joggins Coalfield; Mabou Coalfield; Marble Mountain; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; Scotsville; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1911; 298 page(s),,
1496,No,Report on Government Drills,"Pickings, H B, Nova Scotia Department of Mines and Energy",Annual Report 1911,1912,210-231,0 map(s),,Cambrian; coal; copper; drillhole logs; drillholes; fossil fuels; gold; Meguma Gp; metallic minerals; oil shales; Ordovician,Antigonish County; Big Marsh; Cumberland County; Halifax County; McLellans Brook; Moose River; Moose River Gold District; Pictou County; Stellarton; Wentworth Centre,11D/15C; 11E/09D; 11E/10A; 11E/12D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1911; 298 page(s),,
1497,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1912,1913,11-170,0 map(s),,ammonium sulphate; antimony; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mining production graphs; moulding sands; Pennsylvanian; production; tungsten,Cape Breton County; Cape Breton Island; Cumberland County; Inverness County; Joggins Coalfield; Mabou Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1912; 294 page(s),,
1498,No,Report on Government Core Drills,"Pickings, H B, Nova Scotia Department of Mines and Energy",Annual Report 1912,1912,206-255,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; gypsum; industrial minerals; lithology; oil shales,Cape Breton County; Cape Breton Island; Cumberland County; Hants County; Nova Scotia; Pictou County,11E/09; 11E/10; 11E/15; 11E/16; 11F/09; 11F/10; 11F/15; 11F/16; 11K/01; 11K/02; 11K/07; 11K/08; 21A/09; 21A/10; 21A/15; 21A/16; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1912; 294 page(s),,
1499,No,Report on the Mines In Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1913,1914,11-149,0 map(s),,ammonium sulphate; barite; barium; building stones; coal; coke; economic geology; gold; gypsum; industrial minerals; limestones; manganese; metallic minerals; mineralization; mineralogy; moulding sands; Pennsylvanian; production; tungsten,Cape Breton County; Cape Breton Island; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1913; 251 page(s),,
1500,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1913,1914,180-208,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; gypsum; industrial minerals; iron; lithology,Annapolis County; Cape Breton County; Cape Breton Island; Colchester County; Cumberland County; Digby County; Inverness County; Nova Scotia; Pictou County,11D/10; 11D/15; 11D/16; 11E/03; 11E/04; 11E/05; 11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21A/09; 21A/10; 21A/11; 21A/12; 21A/13; 21A/14; 21A/15; 21A/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Report of the Department of Mines 1913; 251 page(s),,
1501,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1914,1915,11-85,0 map(s),,ammonium sulphate; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining production graphs; moulding sands; Pennsylvanian; production; tungsten,Cape Breton County; Cape Breton Island; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Richmond County; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report of the Mines 1914; 166 page(s)",,
1502,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1914,1915,113-141,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; gypsum; industrial minerals; iron; lithology; metallic minerals,Cape Breton County; Cape Breton Island; Cumberland County; Hants County; Nova Scotia; Pictou County; Richmond County,11D/10; 11D/15; 11D/16; 11E/09; 11E/10; 11E/15; 11E/16; 11F/09; 11F/10; 11F/15; 11F/16; 11K/01; 11K/02; 11K/07; 11K/08; 21A/09; 21A/10; 21A/15; 21A/16; 21H/01; 21H/02; 21H/07; 21H/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report of the Mines 1914; 166 page(s)",,
1504,No,Report of the Mines In Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1915,1916,11-64,2 map(s),"mine level plan, scale: N/A",Alan Shaft; ammonium sulphate; antimony; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; metallic minerals; mineral exploration activities; mineralization; mineralogy; mining production graphs; mining properties; moulding sands; Pennsylvanian; production; shafts,Cape Breton County; Cape Breton Island; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report of the Mines 1915; 180 page(s)",,
1506,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1915,1915,94-98,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; Pennsylvanian,Pictou County; Thorburn,11E/10A,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report of the Mines 1915; 180 page(s)",,
1507,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1916,1917,11-54,0 map(s),,ammonium sulphate; antimony; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining production graphs; moulding sands; Pennsylvanian; production,Cape Breton County; Cape Breton Island; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Springhill Coalfield; St Rose Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11K/03; 11K/04; 11K/05; 11K/06; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report of the Mines 1916; 172 page(s)",,
1509,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1916,1917,61-71,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; lithology,Colchester County; Kemptown; Lourdes; Pictou County,11E/06D; 11E/10A,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report of the Mines 1916; 172 page(s)",,
1510,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1917,1918,9-35,2 map(s),"mine level plan, scale: 1:240",ammonium sulphate; antimony; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mining production graphs; mining properties; molybdenite; molybdenum; moulding sands; production; scheelite; tungsten,Cape Breton County; Cape Breton Island; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Springhill Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11K/03; 11K/04; 11K/05; 11K/06; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines 1917; 78 page(s)",,
1511,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1917,1918,40-46,0 map(s),,antimony; coal; drillholes; economic geology; fossil fuels; metallic minerals; mines; West Gore Mine,Fraser Mountain; Hants County; Mountville; Pictou County; Thorburn; West Gore; Westville,11E/04B; 11E/10A,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines 1917; 78 page(s)",,
1512,No,Report on the Mines In Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1918,1919,9-38,0 map(s),,ammonium sulphate; antimony; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; limestones; manganese; marbles; metallic minerals; mineral exploration activities; mineralization; mining production graphs; molybdenite; molybdenum; moulding sands; Pennsylvanian; production; scheelite; tungsten,Cape Breton County; Cape Breton Island; Chimney Corner Coalfield; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Mabou Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Springhill Coalfield; St Rose Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11K/03; 11K/04; 11K/05; 11K/06; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines 1918; 73 page(s)",,
1513,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1918,1919,54-61,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; industrial minerals; salt,Cape Breton Island; Cumberland County; Hants County; Inverness County; Nova Scotia; Pictou County,11E/03; 11E/04; 11E/05; 11E/06; 11E/09; 11E/10; 11E/11; 11E/12; 11E/13; 11E/14; 11E/15; 11E/16; 11K/03; 11K/04; 11K/06,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines 1918; 73 page(s)",,
1514,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1919,1920,9-36,0 map(s),,ammonium sulphate; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; marbles; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining production graphs; moulding sands; Pennsylvanian; production; scheelite; tungsten,Cape Breton County; Cape Breton Island; Chimney Corner Coalfield; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Springhill Coalfield; St Rose Coalfield; Sydney Coalfield; Victoria County,11E/09; 11E/10; 11E/15; 11E/16; 11K/03; 11K/04; 11K/05; 11K/06; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines 1919; 72 page(s)",,
1515,No,Report on Government Core Drills,"Anderson, R D, Nova Scotia Department of Mines and Energy",Annual Report 1919,1920,55-62,0 map(s),,barite; barium; coal; drillholes; fossil fuels; industrial minerals; mineralization; mineralogy; mines; Pennsylvanian; salt,Antigonish County; Cape Breton Island; Chimney Corner; Dunmaglass; Hants County; Inverness County; Mount William; Pictou County; St. Rose; Thorburn; West Indian Road; Westville,11E/04A; 11E/09D; 11E/10A; 11K/06A; 11K/06D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines 1919; 72 page(s)",,
1516,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1920,1921,9-41,0 map(s),,ammonium sulphate; arsenic; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; dolomites; economic geology; fireclays; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineral exploration activities; mineralization; mineralogy; mines; mining production graphs; Pennsylvanian; production; salt,Cape Breton County; Cape Breton Island; Chimney Corner Coalfield; Colchester County; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Springhill Coalfield; Sydney Coalfield; Victoria County,11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11K/03; 11K/04; 11K/05; 11K/06; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines, 1920; 103 page(s)",,
1518,No,Report on Government Core Drills,Nova Scotia Department of Public Works and Mines,Annual Report 1920,1921,62-88,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; gypsum; industrial minerals; salt,Antigonish County; Cape Breton County; Cape Breton Island; Cumberland County; Hants County; Inverness County; Nova Scotia; Pictou County,11E/09; 11E/10; 11E/11; 11E/12; 11E/13; 11E/14; 11E/15; 11E/16; 11K/01; 11K/02; 11K/03; 11K/04; 11K/06; 11K/07; 11K/08; 21A/09; 21A/10; 21A/15; 21A/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines, 1920; 103 page(s)",,
1519,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy",Annual Report 1921,1922,9-44,0 map(s),,ammonium sulphate; arsenic; barite; barium; brick clays/shales; building stones; coal; coal seams; coke; diatomaceous earth; dolomites; economic geology; fireclays; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; manganese; metallic minerals; mineralization; mineralogy; mines; mining production graphs; moulding sands; Pennsylvanian; photographs; production; salt,Cape Breton County; Cape Breton Island; Chimney Corner Coalfield; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; Springhill Coalfield; St Rose Coalfield; Sydney Coalfield,11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11K/03; 11K/04; 11K/05; 11K/06; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines, 1921; 102 page(s)",,
1520,No,Report on the Government Drills,Nova Scotia Department of Mines and Energy,Annual Report 1921,1922,69-86,0 map(s),,coal; drillhole logs; drillholes; fossil fuels; gypsum; industrial minerals,Antigonish County; Cape Breton County; Cape Breton Island; Hants County; Nova Scotia; Pictou County; Richmond County,11E/09; 11E/10; 11E/15; 11E/16; 11F/09; 11F/10; 11F/15; 11F/16; 11K/03; 11K/04; 11K/06; 21A/09; 21A/10; 21A/15; 21A/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines, 1921; 102 page(s)",,
1521,No,Report on the Mines of Nova Scotia,"Donkin, H, Nova Scotia Department of Mines and Energy;Beveridge, T, Nova Scotia Department of Mines and Energy",Annual Report 1922,1923,9-46,0 map(s),,ammonium sulphate; brick clays/shales; building stones; coal; coal seams; coke; diatomaceous earth; dolomites; economic geology; fossil fuels; gold; grindstones; gypsum; industrial minerals; iron; limestones; metallic minerals; mineral exploration activities; Pennsylvanian; photographs; production; salt,Cape Breton County; Cape Breton Island; Chimney Corner Coalfield; Colchester County; Cumberland County; Inverness Coalfield; Inverness County; Joggins Coalfield; Nova Scotia; Pictou Coalfield; Pictou County; Port Hood Coalfield; Richmond County; Springhill Coalfield; St Rose Coalfield; Sydney Coalfield; Victoria County,11E/06; 11E/09; 11E/10; 11E/15; 11E/16; 11F/11; 11F/12; 11F/13; 11F/14; 11J/04; 11K/01; 11K/02; 11K/03; 11K/04; 11K/05; 11K/06; 11K/07; 11K/08; 21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Department of Public Works and Mines, Annual Report on the Mines, 1922; 104 page(s)",,
